stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,sex,date,expName,psychopyVersion,frameRate,
50.bmp,"(-1.74, -3)","(3.49, 3.49)",1,0,1,0,0,6,6,70,,,,,,,,,,,,,,,952.511581699946,None,953.011057500029,953.061128100031,o,0.6911356000928208,953.011057500029,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(0, 6.11)","(5.24, 5.24)",1,0,1,0,0,7,7,8,,,,,,,,,,,,,,,953.7269396999618,None,954.2268222999992,954.2766964000184,o,0.9024642999283969,954.2268222999992,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
0.bmp,"(-5.25, -3.05)","(5.24, 5.24)",1,0,1,0,0,8,8,10,,,,,,,,,,,,,,,955.1591507999692,None,955.658806100022,955.7088420999935,p,0.7179969000862911,955.658806100022,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
80.bmp,"(3.49, 0)","(3.49, 3.49)",1,0,1,0,0,9,9,105,,,,,,,,,,,,,,,956.4081567999674,None,956.9079891999718,956.9578104999382,p,0.7138975999550894,956.9079891999718,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
80.bmp,"(-1.74, 3)","(3.49, 3.49)",1,0,1,0,0,10,10,107,,,,,,,,,,,,,,,957.6402127000038,None,958.1402402999811,958.1900793999666,o,1.0324702999787405,958.1402402999811,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(0, 6.11)","(5.24, 5.24)",1,0,1,0,0,11,11,99,,,,,,,,,,,,,,,959.206040799967,None,959.7054049000144,959.7553156999638,o,0.7232777000172064,959.7054049000144,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
10.bmp,"(0, -6.11)","(5.24, 5.24)",1,0,1,0,0,12,12,24,,,,,,,,,,,,,,,960.4546570000239,None,960.9542316000443,961.0041713999817,p,0.7785996999591589,960.9542316000443,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(0, 0)","(2.18, 2.18)",1,0,1,0,0,13,13,26,,,,,,,,,,,,,,,961.7536833999911,None,962.2530034999363,962.3029843999539,o,0.7200646999990568,962.2530034999363,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
20.bmp,"(-1.74, 3)","(3.49, 3.49)",1,0,1,0,0,14,14,29,,,,,,,,,,,,,,,963.0024957000278,None,963.5022658000235,963.551894400036,o,0.5956632000161335,963.5022658000235,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(1.74, -3)","(3.49, 3.49)",1,0,1,0,0,15,15,45,,,,,,,,,,,,,,,964.1181178999832,None,964.6178052000469,964.6675595999695,p,0.7543428000062704,964.6178052000469,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
50.bmp,"(-3.49, 0)","(3.49, 3.49)",1,0,1,0,0,16,16,69,,,,,,,,,,,,,,,965.4003390000435,None,965.9000523999566,965.9498704000143,o,0.5828825000207871,965.9000523999566,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(-3.49, 0)","(3.49, 3.49)",1,0,1,0,0,17,17,56,,,,,,,,,,,,,,,966.4991857999703,None,966.9990672999993,967.0488516000332,o,0.5537408000091091,966.9990672999993,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(-5.25, -3.05)","(5.24, 5.24)",1,0,1,0,0,18,18,101,,,,,,,,,,,,,,,967.5817587999627,None,968.0812697999645,968.1312247000169,o,0.7241055000340566,968.0812697999645,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
30.bmp,"(-3.49, 0)","(3.49, 3.49)",1,0,1,0,0,19,19,43,,,,,,,,,,,,,,,968.8303717999952,None,969.3303513999563,969.380133699975,o,1.045907200081274,969.3303513999563,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(3.49, 0)","(3.49, 3.49)",1,0,1,0,0,20,20,92,,,,,,,,,,,,,,,970.3959657000378,None,970.895739599946,970.9455175000476,p,0.7596873000729829,970.895739599946,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
70.bmp,"(-1.74, 3)","(3.49, 3.49)",1,0,1,0,0,21,21,94,,,,,,,,,,,,,,,971.6787000000477,None,972.1781328000361,972.2279279000359,o,0.8397618999006227,972.1781328000361,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
40.bmp,"(-5.25, 3.05)","(5.24, 5.24)",1,0,1,0,0,22,22,61,,,,,,,,,,,,,,,973.044036700041,None,973.5433865999803,973.593144500046,o,0.5839935999829322,973.5433865999803,None,,,,,,,,,,,,,,,,,,,8101003552,r,r,45,1,f,2022-03-10_19h14.06.425,HW1_Rostami_810100355,2022.1.1,60.07701872298738,
