stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,date,expName,psychopyVersion,frameRate,uhnd
50.bmp,"(-5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,109,109,75,,,,,,,,,,,,,,,297.1766352,None,297.6763443,297.7261599,p,1.7952353,297.6763443,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
70.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,0,110,110,91,,,,,,,,,,,,,,,299.4912514,None,299.99074,300.0405461,p,1.053706,299.99074,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,0,111,111,84,,,,,,,,,,,,,,,301.0730442,None,301.573,301.6231265,p,1.2748146,301.573,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(-1.74, 3)","(3.49, 3.49)",0,0,0,0,0,112,112,68,,,,,,,,,,,,,,,302.871656,None,303.3712567,303.4210992,p,0.7438391,303.3712567,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(5.25, -3.05)","(5.24, 5.24)",0,0,0,0,0,113,113,51,,,,,,,,,,,,,,,304.1372522,None,304.637331,304.6869215,p,0.5948447,304.637331,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,0,114,114,2,,,,,,,,,,,,,,,305.2530072,None,305.7527197,305.8025979,p,0.4302937,305.7527197,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,0,115,115,4,,,,,,,,,,,,,,,306.202489,None,306.7016432,306.7516018,p,0.664471,306.7016432,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(3.49, 0)","(3.49, 3.49)",0,0,0,0,0,116,116,14,,,,,,,,,,,,,,,307.3842794,None,307.8841114,307.9339152,p,0.4708569,307.8841114,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
70.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,1,0,117,99,,,,,,,,,,,,,,,308.3834501,None,308.8832203,308.9330648,p,0.6686837,308.8832203,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,1,1,118,115,,,,,,,,,,,,,,,309.5824437,None,310.0822429,310.1319278,p,0.5734392,310.0822429,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
